Student_ID,Previous_Semester_GPA,No_of_Backlogs,Cumulative_GPA,T1_Marks,T2_Marks,T3_Marks,Attendance_Percentage,TA_Marks,Adherence_to_Deadlines,Total_Score,Final_Grade
S00001,6.8,0,7.4,13,12,30,77,23,5,78,B+
S00002,5.88,1,6.87,12,12,23,59,21,5,68,B
S00003,5.49,0,6.84,14,15,29,78,16,3,74,B
S00004,8.66,0,7.75,13,12,32,82,17,2,74,B
S00005,5.72,0,7.26,15,11,31,75,16,3,73,B
S00006,8.34,0,8.17,13,19,29,75,22,4,83,B+
S00007,5.8,0,6.92,14,17,26,82,22,5,79,B+
S00008,3.45,0,7.78,19,16,24,69,18,4,77,B+
S00009,5.91,1,6.3,14,13,21,85,19,4,67,B
S00010,7.35,1,6.97,13,11,27,86,20,4,71,B
S00011,5.92,0,6.82,13,11,28,87,17,4,69,B
S00012,5.83,0,5.71,16,14,23,92,21,3,74,B
S00013,7.54,1,8.18,12,16,26,93,23,4,77,B+
S00014,3.55,0,6.83,15,17,30,75,18,3,80,B+
S00015,6.08,2,8.87,11,12,26,78,17,3,66,B
S00016,6.83,0,6.8,14,14,22,96,19,3,69,B
S00017,7.03,0,7.58,15,19,25,64,15,3,74,B
S00018,4.89,0,7.87,16,16,27,73,19,4,78,B+
S00019,6.94,0,5.77,11,15,25,75,17,3,68,B
S00020,8.21,2,8.07,10,11,20,85,20,4,61,C+
S00021,8.03,0,7.17,14,12,31,73,19,4,76,B+
S00022,6.93,1,5.28,16,16,28,76,19,3,79,B+
S00023,6.97,0,5.96,13,15,28,70,21,5,77,B+
S00024,6.98,0,6.99,16,16,30,85,18,3,80,B+
S00025,7.48,3,6.8,10,13,24,67,17,4,64,C+
S00026,6.94,0,5.78,16,14,21,82,19,4,70,B
S00027,8.63,0,7.95,18,15,32,94,24,5,89,A
S00028,8.31,1,7.36,13,12,26,74,20,4,71,B
S00029,6.07,1,6.2,15,15,27,81,18,3,75,B+
S00030,7.5,1,7.22,16,14,26,88,19,4,75,B+
S00031,6.39,0,6.92,12,15,22,85,20,4,69,B
S00032,5.13,0,6.86,11,17,26,74,20,4,74,B
S00033,7.22,0,8.94,15,15,28,87,18,3,76,B+
S00034,4.15,1,8.74,12,13,21,80,18,3,64,C+
S00035,6.99,0,6.16,14,15,29,89,20,4,78,B+
S00036,6.05,0,7.56,16,15,25,95,22,4,78,B+
S00037,5.37,0,6.61,12,15,27,58,15,3,69,B
S00038,6.51,0,7.96,12,14,28,77,21,4,75,B+
S00039,6.16,0,7.2,15,18,28,84,19,3,80,B+
S00040,5.47,2,5.17,11,16,28,79,19,4,74,B
S00041,7.57,0,6.16,14,17,21,67,14,2,66,B
S00042,5.81,0,5.78,17,16,30,68,17,4,80,B+
S00043,7.78,0,6.6,16,14,31,86,21,4,82,B+
S00044,5.94,0,8.17,18,15,30,86,21,4,84,B+
S00045,5.85,2,6.31,12,13,24,77,16,2,65,B
S00046,4.61,1,6.93,15,11,25,84,20,4,71,B
S00047,4.85,0,7.38,16,16,23,78,20,5,75,B+
S00048,6.11,1,6.43,11,11,32,65,19,5,73,B
S00049,5.03,1,6.78,14,13,29,88,22,5,78,B+
S00050,7.29,0,7.03,13,13,28,57,16,4,70,B
S00051,4.44,0,8.15,18,10,32,96,23,4,83,B+
S00052,6.89,0,7.36,15,19,27,80,21,5,82,B+
S00053,6.36,0,7.13,14,18,31,79,21,4,84,B+
S00054,8.81,0,9.17,14,15,23,74,17,3,69,B
S00055,8.45,0,7.46,13,18,30,85,22,4,83,B+
S00056,6.12,2,7.76,14,9,18,83,20,4,61,C+
S00057,6.24,2,6.14,14,14,24,98,18,3,70,B
S00058,7.38,1,8.54,20,19,26,64,22,5,87,A
S00059,6.86,2,6.4,13,11,25,90,18,3,67,B
S00060,6.65,0,6.97,16,15,30,68,18,4,79,B+
S00061,6.04,1,7.05,12,11,19,91,23,4,65,B
S00062,6.18,2,7.14,11,12,26,77,22,4,71,B
S00063,6.91,0,6.02,19,15,26,90,21,5,81,B+
S00064,5.41,0,6.36,13,13,28,66,16,3,70,B
S00065,5.39,0,5.32,12,13,25,92,20,4,70,B
S00066,4.39,0,7.72,14,15,28,68,19,4,76,B+
S00067,6.1,1,6.75,15,12,23,83,18,3,68,B
S00068,7.17,0,8.17,16,11,25,83,20,4,72,B
S00069,4.04,0,6.29,14,14,26,80,20,4,74,B
S00070,7.46,0,6.79,17,15,28,72,15,3,75,B+
S00071,6.95,0,6.99,13,14,26,66,20,4,73,B
S00072,5.67,0,5.71,14,12,24,76,22,5,72,B
S00073,8.72,0,8.01,19,13,26,71,17,3,75,B+
S00074,6.71,0,6.16,16,18,27,88,18,3,79,B+
S00075,5.83,0,7.02,14,13,28,87,18,3,73,B
S00076,4.67,0,9.29,12,14,24,70,16,4,66,B
S00077,6.03,1,8.41,14,13,25,75,21,4,73,B
S00078,4.7,0,7.51,16,18,24,89,22,5,80,B+
